"Item Group Code","Item Group","Item Code","Item","Factor","CPC Code","HS Code","HS07 Code","HS12 Code"
"QC","Crops Primary","1714","Crops Primary","1","F1714","","",""
"QC","Crops Primary","1753","Fibre Crops Primary","1","F1753","","",""
"QC","Crops Primary","1730","Oilcrops Primary","1","F1730","","",""
"QA","Live Animals","1756","Live Animals","1","F1756","","",""
"QL","Livestock primary","1777","Hides and skins, primary","1","F1777","","",""
"1806","Beef and Buffalo Meat","947","Meat of buffalo, fresh or chilled","1","21112","","020110, 020120, 020130, 020210, 020220, 020230","020110, 020120, 020130, 020210, 020220, 020230"
"1806","Beef and Buffalo Meat","867","Meat of cattle with the bone, fresh or chilled","1","21111.01","","020110, 020120, 020210, 020220","020110, 020120, 020210, 020220"
"1811","Butter and Ghee","983","Butter and ghee of sheep milk","1","22249.01","","040510, 040520, 040590","040510, 040520, 040590"
"1811","Butter and Ghee","952","Butter of buffalo milk","1","22242.01","","040510, 040520","040510, 040520"
"1811","Butter and Ghee","886","Butter of cow milk","1","22241.01","","040510, 040520","040510, 040520"
"1811","Butter and Ghee","1022","Butter of goat milk","1","22249.02","","040510, 040520, 040590","040510, 040520, 040590"
"1811","Butter and Ghee","953","Ghee from buffalo milk","1","22242.02","","040590","040590"
"1811","Butter and Ghee","887","Ghee from cow milk","1","22241.02","","040590","040590"
"1746","Cattle and Buffaloes","946","Buffalo","1","02112","","010210, 010290","010231, 010239"
"1746","Cattle and Buffaloes","866","Cattle","1","02111","","010210, 010290","010221, 010229"
"1717","Cereals, Total","44","Barley","1","0115","","100300","100310, 100390"
"1717","Cereals, Total","89","Buckwheat","1","01192","","100810","100810"
"1717","Cereals, Total","101","Canary seed","1","01195","","100830","100830"
"1717","Cereals, Total","108","Cereals n.e.c.","1","01199.90","","100890","100890"
"1717","Cereals, Total","94","Fonio","1","01193","","100890","100840"
"1717","Cereals, Total","56","Maize (corn)","1","0112","","100510, 100590","100510, 100590"
"1717","Cereals, Total","79","Millet","1","0118","","100820","100821, 100829"
"1717","Cereals, Total","103","Mixed grain","1","01199.02","","100890","100890"
"1717","Cereals, Total","75","Oats","1","0117","","100400","100410, 100490"
"1717","Cereals, Total","92","Quinoa","1","01194","","100890","100850"
"1717","Cereals, Total","27","Rice","1","0113","","100610","100610"
"1717","Cereals, Total","71","Rye","1","0116","","100200","100210, 100290"
"1717","Cereals, Total","83","Sorghum","1","0114","","100700","100710, 100790"
"1717","Cereals, Total","97","Triticale","1","01191","","100890","100860"
"1717","Cereals, Total","15","Wheat","1","0111","","100110, 100190","100111, 100119, 100191, 100199"
"1745","Cheese (All Kinds)","955","Cheese from milk of buffalo, fresh or processed","1","22252","","040610, 040620, 040630, 040640, 040690","040610, 040620, 040630, 040640, 040690"
"1745","Cheese (All Kinds)","1021","Cheese from milk of goats, fresh or processed","1","22254","","040610, 040620, 040630, 040640, 040690","040610, 040620, 040630, 040640, 040690"
"1745","Cheese (All Kinds)","984","Cheese from milk of sheep, fresh or processed","1","22253","","040610, 040620, 040630, 040640, 040690","040610, 040620, 040630, 040640, 040690"
"1745","Cheese (All Kinds)","904","Cheese from skimmed cow milk","1","22251.02","","040610, 040620, 040630, 040640, 040690","040610, 040620, 040630, 040640, 040690"
"1745","Cheese (All Kinds)","901","Cheese from whole cow milk","1","22251.01","","040610, 040620, 040630, 040640, 040690","040610, 040620, 040630, 040640, 040690"
"1804","Citrus Fruit, Total","497","Lemons and limes","1","01322","","080550","080550"
"1804","Citrus Fruit, Total","490","Oranges","1","01323","","080510","080510"
"1804","Citrus Fruit, Total","512","Other citrus fruit, n.e.c.","1","01329","","080590","080590"
"1804","Citrus Fruit, Total","507","Pomelos and grapefruits","1","01321","","080540","080540"
"1804","Citrus Fruit, Total","495","Tangerines, mandarins, clementines","1","01324","","080520","080520"
"1714","Crops Primary","809","Abaca, manila hemp, raw","1","01929.07","","530500","530500"
"QC","Crops Primary","809","Abaca, manila hemp, raw","1","01929.07","","530500","530500"
"1714","Crops Primary","800","Agave fibres, raw, n.e.c.","1","01929.06","","530500","530500"
"QC","Crops Primary","800","Agave fibres, raw, n.e.c.","1","01929.06","","530500","530500"
"1714","Crops Primary","221","Almonds, in shell","1","01371","","080211","080211"
"QC","Crops Primary","221","Almonds, in shell","1","01371","","080211","080211"
"1714","Crops Primary","711","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1","01654","","090910, 090920, 090930, 090940, 090950","090921, 090922, 090931, 090932, 090961, 090962"
"QC","Crops Primary","711","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1","01654","","090910, 090920, 090930, 090940, 090950","090921, 090922, 090931, 090932, 090961, 090962"
