,area,year,item_group,area_harvested(ha),laying(1000head),milkanimals(head),prod_popultn,producing_animals/slaughtered(head),production(tonnes),stocks(head),yield(hg/ha),yield/carcass_weight(hg/an),export_quantity,export_value(1000US$),import_quantity,import_value(1000US$),net_export,net_value(1000US$)
0,Ireland,1961,Crops Primary,467324.0,0.0,0.0,0.0,0.0,2260011.0,0.0,391013.0,0.0,148819.0,7475.0,289949.0,20830.0,-141130.0,-13355.0
1,Ireland,1961,Crops Processed,0.0,0.0,0.0,0.0,0.0,541927.6,0.0,0.0,0.0,203846.0,20111.0,59712.0,5295.0,144134.0,14816.0
2,Ireland,1961,Fruit Primary,3500.0,0.0,0.0,0.0,0.0,38000.0,0.0,156667.0,0.0,3521.0,793.0,9085.0,2047.0,-5564.0,-1254.0
3,Ireland,1961,Live Animals,0.0,0.0,0.0,0.0,0.0,0.0,5534911.0,0.0,0.0,744591.0,136059.0,163742.0,26527.0,580849.0,109532.0
4,Ireland,1961,Livestock primary,0.0,4300.0,0.0,0.0,0.0,57325.0,0.0,106512.0,0.0,10545.0,13316.0,3170.0,4494.0,7375.0,8822.0
5,Ireland,1961,Livestock processed,0.0,0.0,0.0,0.0,0.0,1514597.0,0.0,0.0,0.0,28176.0,17009.0,670.0,309.0,27506.0,16700.0
6,Ireland,1961,"Meat, Total",0.0,0.0,0.0,0.0,2217600.0,274656.0,0.0,0.0,127460.0,45810.0,29408.0,11.0,8.0,45799.0,29400.0
7,Ireland,1961,"Milk, Total",0.0,0.0,1206000.0,0.0,0.0,2356000.0,0.0,19536.0,0.0,281.0,7.0,0.0,0.0,281.0,7.0
8,Ireland,1961,Poultry Birds,0.0,0.0,0.0,0.0,0.0,0.0,8601.0,0.0,0.0,1490.0,648.0,2010.0,753.0,-520.0,-105.0
9,Ireland,1961,"Pulses, Total",1300.0,0.0,0.0,0.0,0.0,2600.0,0.0,20000.0,0.0,0.0,0.0,991.0,175.0,-991.0,-175.0
10,Ireland,1961,"Roots and Tubers, Total",86237.0,0.0,0.0,0.0,0.0,2145000.0,0.0,248733.0,0.0,52830.0,2678.0,0.0,0.0,52830.0,2678.0
11,Ireland,1961,Sheep and Goat Meat,0.0,0.0,0.0,0.0,1397900.0,37211.0,0.0,0.0,266.0,7412.0,4941.0,0.0,0.0,7412.0,4941.0
12,Ireland,1961,Sheep and Goats,0.0,0.0,0.0,0.0,0.0,0.0,3106500.0,0.0,0.0,348500.0,4536.0,367500.0,4365.0,-19000.0,171.0
13,Ireland,1961,"Skim Milk&Buttermilk,Dry",0.0,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,6199.0,1158.0,0.0,0.0,6199.0,1158.0
14,Ireland,1961,Sugar Crops Primary,31889.0,0.0,0.0,0.0,0.0,892092.0,0.0,279749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Ireland,1961,Vegetables Primary,2770.0,0.0,0.0,0.0,0.0,135400.0,0.0,1769429.0,0.0,3406.0,937.0,7587.0,2469.0,-4181.0,-1532.0
16,Ireland,1962,Crops Primary,463703.0,0.0,0.0,0.0,0.0,2369918.0,0.0,406594.0,0.0,38748.0,2103.0,165599.0,12344.0,-126851.0,-10241.0
17,Ireland,1962,Crops Processed,0.0,0.0,0.0,0.0,0.0,540050.8,0.0,0.0,0.0,191417.0,19287.0,72875.0,5591.0,118542.0,13696.0
18,Ireland,1962,Fruit Primary,3500.0,0.0,0.0,0.0,0.0,41000.0,0.0,163333.0,0.0,3989.0,1089.0,10174.0,2732.0,-6185.0,-1643.0
19,Ireland,1962,Live Animals,0.0,0.0,0.0,0.0,0.0,0.0,5545364.0,0.0,0.0,590400.0,114008.0,105204.0,18596.0,485196.0,95412.0
20,Ireland,1962,Livestock primary,0.0,4300.0,0.0,0.0,0.0,56727.0,0.0,103953.0,0.0,10233.0,13032.0,3387.0,4170.0,6846.0,8862.0
21,Ireland,1962,Livestock processed,0.0,0.0,0.0,0.0,0.0,1553757.0,0.0,0.0,0.0,34520.0,22565.0,628.0,367.0,33892.0,22198.0
22,Ireland,1962,"Meat, Total",0.0,0.0,0.0,0.0,2288550.0,258470.0,0.0,0.0,127343.0,39958.0,25918.0,28.0,22.0,39930.0,25896.0
23,Ireland,1962,"Milk, Total",0.0,0.0,1220000.0,0.0,0.0,2450800.0,0.0,20089.0,0.0,21.0,1.0,0.0,0.0,21.0,1.0
24,Ireland,1962,Poultry Birds,0.0,0.0,0.0,0.0,0.0,0.0,8089.0,0.0,0.0,2013.0,953.0,2578.0,884.0,-565.0,69.0
25,Ireland,1962,"Pulses, Total",1600.0,0.0,0.0,0.0,0.0,4500.0,0.0,28125.0,0.0,0.0,0.0,900.0,187.0,-900.0,-187.0
26,Ireland,1962,"Roots and Tubers, Total",84659.0,0.0,0.0,0.0,0.0,2117100.0,0.0,250074.0,0.0,74500.0,5377.0,80.0,4.0,74420.0,5373.0
27,Ireland,1962,Sheep and Goat Meat,0.0,0.0,0.0,0.0,1855600.0,47017.0,0.0,0.0,253.0,15339.0,10290.0,0.0,0.0,15339.0,10290.0
28,Ireland,1962,Sheep and Goats,0.0,0.0,0.0,0.0,0.0,0.0,3375900.0,0.0,0.0,383100.0,5407.0,412400.0,5366.0,-29300.0,41.0
29,Ireland,1962,"Skim Milk&Buttermilk,Dry",0.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,3164.0,588.0,0.0,0.0,3164.0,588.0
30,Ireland,1962,Sugar Crops Primary,31606.0,0.0,0.0,0.0,0.0,930702.0,0.0,294470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Ireland,1962,Vegetables Primary,2770.0,0.0,0.0,0.0,0.0,139400.0,0.0,1912286.0,0.0,3949.0,1047.0,7970.0,2754.0,-4021.0,-1707.0
32,Ireland,1963,Crops Primary,438479.0,0.0,0.0,0.0,0.0,2210855.0,0.0,372929.0,0.0,129915.0,7069.0,251660.0,18664.0,-121745.0,-11595.0
33,Ireland,1963,Crops Processed,0.0,0.0,0.0,0.0,0.0,544522.64,0.0,0.0,0.0,184040.0,19797.0,66420.0,10399.0,117620.0,9398.0
